iter	RMSE
0	0.3781452273
1	0.367611603
2	0.356498377
3	0.3470943606
4	0.3382021889
5	0.329082465
6	0.3208918655
7	0.3122315253
8	0.3043339262
9	0.29640127
10	0.2898726141
11	0.2827511953
12	0.2768558622
13	0.2712417574
14	0.2649263749
15	0.2596142871
16	0.2552858133
17	0.2499217452
18	0.2449337618
19	0.2401988549
20	0.2356072057
21	0.2323458184
22	0.2281860853
23	0.224749617
24	0.2208363137
25	0.2179091915
26	0.214725913
27	0.2110809909
28	0.2082252325
29	0.2054411451
30	0.2031196159
31	0.19981789
32	0.1971156598
33	0.1941950296
34	0.1918836883
35	0.1898926253
36	0.1876803119
37	0.1854419059
38	0.1828023415
39	0.1801691139
40	0.1785922689
41	0.1761237553
42	0.1746702924
43	0.1730075862
44	0.1713069203
45	0.1700352224
46	0.1681552293
47	0.1665408503
48	0.1651180427
49	0.1639998551
50	0.1629204965
51	0.1617744338
52	0.1604849595
53	0.1594594546
54	0.1581294066
55	0.15690594
56	0.1559808075
57	0.1550585764
58	0.1537687109
59	0.153087616
60	0.1520505048
61	0.1511715867
62	0.1502007773
63	0.1494865337
64	0.149054918
65	0.1483161632
66	0.1476914614
67	0.1467433498
68	0.1458380169
69	0.145291347
70	0.144860964
71	0.1442541612
72	0.1432425277
73	0.1425007517
74	0.1418957523
75	0.1412562419
76	0.1403811628
77	0.1396519835
78	0.1385372267
79	0.1377309228
80	0.1371082891
81	0.1366501011
82	0.1360040972
83	0.1356655414
84	0.1345759854
85	0.1342064595
86	0.1338615367
87	0.1335441733
88	0.1330292347
89	0.1325380337
90	0.1319535289
91	0.1314714403
92	0.1311249405
93	0.1308818486
94	0.1301537237
95	0.1295586693
96	0.1290372787
97	0.1287076119
98	0.1283283134
99	0.1276698153
100	0.1270386155
101	0.1263671756
102	0.1259746665
103	0.1250564369
104	0.1247019718
105	0.124065722
106	0.1236012709
107	0.1231288061
108	0.12282923
109	0.1220048058
110	0.1215637699
111	0.121015936
112	0.1208248898
113	0.1201643804
114	0.1199234951
115	0.1196499951
116	0.1194580206
117	0.1190845744
118	0.1188683648
119	0.1183143573
120	0.1178454454
121	0.1173704807
122	0.117122886
123	0.1167632111
124	0.1163975448
125	0.1160609735
126	0.1157492168
127	0.1154350839
128	0.1152838817
129	0.1149716921
130	0.1145480829
131	0.1141530884
132	0.1136841795
133	0.1132660461
134	0.1128477709
135	0.112266631
136	0.1121439927
137	0.111783856
138	0.1115166555
139	0.111374561
140	0.1111559519
141	0.1107937163
142	0.1105757456
143	0.1098156116
144	0.1095343431
145	0.1091686094
146	0.1087404173
147	0.1084546702
148	0.1078754262
149	0.1074954437
150	0.1071790348
151	0.1070590823
152	0.1064786444
153	0.1063449713
154	0.1058458316
155	0.1056383588
156	0.1052219019
157	0.1049654967
158	0.1045522225
159	0.1040273956
160	0.103519962
161	0.1030122387
162	0.102650393
163	0.1023656221
164	0.102269492
165	0.1019653923
166	0.1015951245
167	0.1012392703
168	0.1009981579
169	0.1009100153
170	0.1005882726
171	0.1004323735
172	0.1000287495
173	0.09969914212
174	0.09960458055
175	0.0994531467
176	0.09916448499
177	0.09885866136
178	0.098311617
179	0.09784943281
180	0.09761338732
181	0.09716988442
182	0.09686327342
183	0.09650004006
184	0.09619063912
185	0.09589797607
186	0.09551682415
187	0.09512112022
188	0.09475316444
189	0.09447712031
190	0.09407742378
191	0.09374555206
192	0.09339812038
193	0.09305268604
194	0.09272441127
195	0.09248324954
196	0.09200562039
197	0.09181654731
198	0.09152031441
199	0.09116535353
200	0.09088593375
201	0.09051538658
202	0.09015271616
203	0.08987368507
204	0.08942183575
205	0.08902124912
206	0.08862813003
207	0.08814738833
208	0.08795974072
209	0.08772468333
210	0.0874900488
211	0.08714898631
212	0.08685139618
213	0.08649090781
214	0.08623295491
215	0.08578298267
216	0.08560395801
217	0.08533951083
218	0.08504061557
219	0.0848959507
220	0.08459529615
221	0.08439179064
222	0.08419626072
223	0.08379781467
224	0.0833856681
225	0.08308846783
226	0.0829605842
227	0.08274306731
228	0.08238368148
229	0.08201141347
230	0.08181203188
231	0.08151366632
232	0.08115238007
233	0.08099973227
234	0.08078685926
235	0.08070113726
236	0.0804733238
237	0.08002870248
238	0.07987785207
239	0.0797132622
240	0.07938182505
241	0.07917768718
242	0.07892203007
243	0.07877638402
244	0.07865243067
245	0.07838096478
246	0.07826246833
247	0.07806369386
248	0.07772805665
249	0.07755503759
250	0.07716585344
251	0.07705981412
252	0.07689805683
253	0.07670220621
254	0.07649041795
255	0.0762783776
256	0.07608501076
257	0.07585439863
258	0.07570022076
259	0.07556191949
260	0.07547704822
261	0.0753161225
262	0.0750788675
263	0.07479884708
264	0.07442363299
265	0.07426100354
266	0.07396235698
267	0.07375992378
268	0.07351472989
269	0.07338448586
270	0.07327017829
271	0.07298764058
272	0.07272033818
273	0.07263723279
274	0.07248006777
275	0.07215822703
276	0.07211234071
277	0.07198692799
278	0.07187915121
279	0.07182130503
280	0.07170675749
281	0.07152413861
282	0.07134714836
283	0.07116994936
284	0.07083291498
285	0.07056597413
286	0.07039701789
287	0.07009525325
288	0.06991163027
289	0.06983861075
290	0.06973813705
291	0.0695497058
292	0.06935294605
293	0.06922268637
294	0.06905317296
295	0.06873102265
296	0.06860881827
297	0.06839876617
298	0.06836874101
299	0.06820862927
